response,ager,educ,file_race,gender,race_eth,ABOLOISHICE,AFRAID,approve,ASSAULTW,CONIMMIG,ENGLISH,genballot,hdem_fav,hrep_fav,IMMCRIME,age_combined,educ4,file_party,gender_combined,likely,partyid,race_edu,race_eth2,age_combinedb,file_race_hisp,region,turnout_class,phone_type,turnout_scale,turnout_score,w_LV,w_RV,final_weight
Rep,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,Don't know,65 and older,Postgraduate Degree,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Rest of Araphahoe,85 percent or higher,Cell,1,0.9954,1.1357,0.6714,1.1627
Und,35 to 49,Bachelors' degree,Other,Female,White,Don't know,disagree,Don't know,support,Support,disagree,Don't know,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Other,Female,Somewhat likely,Independent (No party),"White, 4-Year College Grads",White,35 to 49,Other Non-White,Rest of Araphahoe,Less than 50 percent,Cell,0.7778,0.3007,1.1947,2.3393,0.9692
Rep,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9911,0.9974,0.7113,1.0227
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5375,0.7926,0.9584,0.8389
Dem,50 to 64,Graduate or Professional Degree,Unknown,Female,White,Oppose,agree,Disapp.,support,Support,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,Unknown,Aurora,85 percent or higher,Cell,1,0.988,1.2492,0.8687,1.2806
Rep,18 to 34,Some college or trade school,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,30 to 44,Some College Educ.,Republican,Male,Very likely,Republican,"White, No 4-Year College Degree",White,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.9332,0.5842,0.5331,0.5931
Rep,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,agree,Approve,oppose,Oppose,disagree,Reps. keep House,Favorable,Favorable,disagree,30 to 44,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Rest of Araphahoe,50 to 85 percent,Cell,1,0.793,0.7953,0.7017,0.8359
Dem,35 to 49,Bachelors' degree,White,Male,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.9852,0.4977,0.4386,0.5102
Dem,65 and older,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,agree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9969,0.9493,0.7304,0.9727
Dem,65 and older,Some college or trade school,White,Female,White,Support,agree,Approve,oppose,Support,agree,Dems. take House,Favorable,Don't know,disagree,65 and older,Some College Educ.,Democratic,Female,Very likely,Democrat,"White, No 4-Year College Degree",White,65 and older,White,Adams,85 percent or higher,Cell,1,0.9894,0.5708,0.5015,0.5831
Dem,50 to 64,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,oppose,Oppose,agree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Cell,1,0.9887,1.5033,1.1443,1.5354
Und,50 to 64,Bachelors' degree,White,Female,White,Support,agree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.6681,1.3542,1.1864,1.4632
Rep,50 to 64,Graduate or Professional Degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Postgraduate Degree,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Landline,1,0.9889,1.8142,1.1509,1.86
Rep,50 to 64,Bachelors' degree,White,Male,White,Support,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Cell,1,0.9944,0.5789,0.4058,0.5925
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9918,0.966,0.6451,0.9906
Rep,18 to 34,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,agree,18 to 29,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,18 to 34,White,Rest of Araphahoe,50 to 85 percent,Cell,0.7778,0.7332,0.6737,0.6067,0.6591
Dem,35 to 49,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,35 to 49,White,Adams,85 percent or higher,Cell,1,0.915,0.4689,0.5129,0.4834
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,0.2222,0.7648,1.1994,0.9795,0.6388
Rep,65 and older,Some college or trade school,Unknown,Female,White,Oppose,agree,Approve,support,Don't know,disagree,Reps. keep House,Don't know,Favorable,agree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,Unknown,Aurora,85 percent or higher,Landline,1,0.988,1.2958,0.901,1.3285
Dem,65 and older,Graduate or Professional Degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9992,0.8521,0.597,0.8753
Und,18 to 34,Bachelors' degree,Unknown,Male,White,Don't know,disagree,Don't know,oppose,Support,disagree,Don't know,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,Unknown,Rest of Araphahoe,Less than 50 percent,Cell,1,0.4744,0.563,0.8069,0.6477
Und,18 to 34,Graduate or Professional Degree,White,Female,White,Oppose,agree,Disapp.,oppose,Oppose,disagree,Don't know,Favorable,Favorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Adams,50 to 85 percent,Cell,1,0.6643,0.496,0.5468,0.5365
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,White,Rest of Araphahoe,85 percent or higher,Cell,0.8889,0.986,0.4859,0.4015,0.4971
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Adams,85 percent or higher,Cell,1,0.984,0.5789,0.4101,0.5906
Und,18 to 34,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Don't know,Unfavorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Other,Female,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Douglas,Less than 50 percent,Cell,0,0.1726,0.9731,4.0768,0.2159
Rep,50 to 64,Some college or trade school,White,Male,White,Don't know,disagree,Approve,Don't know,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,Some College Educ.,Republican,Male,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9937,0.9974,0.7094,1.0229
Rep,65 and older,Grade school,White,Female,White,Don't know,disagree,Approve,support,Support,agree,Reps. keep House,Favorable,Favorable,agree,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Adams,85 percent or higher,Landline,1,0.8565,0.9085,0.8367,0.9444
Rep,35 to 49,Some college or trade school,Other,Male,Hispanic,Oppose,disagree,Don't know,oppose,Oppose,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Other,Male,Not very likely,Independent (No party),Nonwhite,Nonwhite,35 to 49,Other Non-White,Aurora,85 percent or higher,Cell,0.2222,0.8631,1.2733,1.15,0.9033
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,support,Support,agree,Reps. keep House,Favorable,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Very likely,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9947,0.9627,0.5954,0.9853
Dem,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Don't know,oppose,Oppose,disagree,Don't know,Don't know,Unfavorable,disagree,18 to 29,4-year College Grad.,Other,Male,Very likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Douglas,Less than 50 percent,Cell,1,0.3261,0.8496,2.0234,0.9633
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Other,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9954,1.1065,0.6855,1.1352
Dem,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,support,Oppose,agree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Other,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.9355,0.9315,0.6992,0.958
Rep,65 and older,High school,White,Female,White,Oppose,disagree,Approve,support,Oppose,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,High School Grad. or Less,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,65 and older,White,Douglas,85 percent or higher,Landline,0.8889,0.9265,2.682,2.2658,2.6989
Dem,50 to 64,Some college or trade school,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,White,Douglas,85 percent or higher,Landline,1,0.9897,1.5574,1.3605,1.5968
Rep,18 to 34,Bachelors' degree,White,Male,Other,Oppose,disagree,Approve,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,disagree,30 to 44,4-year College Grad.,Republican,Male,Almost certain,Republican,Nonwhite,Nonwhite,18 to 34,White,Aurora,Less than 50 percent,Cell,1,0.1716,0.4901,2.1019,0.7059
Dem,[DO NOT READ] Refused,Some college or trade school,Black,Male,Black,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Other Non-White,Aurora,85 percent or higher,Landline,1,0.9925,1.1904,0.9486,1.2208
Rep,65 and older,Bachelors' degree,White,Female,White,Oppose,agree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9934,1.0381,0.5957,1.0647
Dem,50 to 64,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Aurora,85 percent or higher,Landline,1,0.9822,0.8703,0.6803,0.8922
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Aurora,85 percent or higher,Landline,1,0.9949,0.883,0.677,0.9058
Dem,65 and older,Graduate or Professional Degree,Unknown,Male,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Male,Very likely,Democrat,"White, 4-Year College Grads",White,65 and older,Unknown,Rest of Araphahoe,85 percent or higher,Landline,1,0.9986,1.0024,0.6918,1.0284
Rep,50 to 64,Bachelors' degree,White,Female,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9942,1.1027,0.6354,1.131
Rep,35 to 49,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9918,0.8527,0.5644,0.8744
Rep,35 to 49,Some college or trade school,White,Male,Black,Support,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Don't know,Favorable,agree,45 to 64,Some College Educ.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Aurora,50 to 85 percent,Cell,1,0.7973,0.9774,1.0949,1.0265
Dem,50 to 64,Bachelors' degree,White,Female,White,Support,agree,Disapp.,support,Oppose,Don't know,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9941,0.9969,0.7169,1.0225
Dem,50 to 64,Bachelors' degree,Black,Male,Black,Support,disagree,Disapp.,support,Oppose,agree,Dems. take House,Don't know,Don't know,disagree,45 to 64,4-year College Grad.,Democratic,Male,Almost certain,Democrat,Nonwhite,Nonwhite,50 to 64,Other Non-White,Aurora,85 percent or higher,Landline,0.8889,0.9948,1.2205,0.8489,1.2507
Dem,35 to 49,Some college or trade school,White,Female,White,Support,agree,Disapp.,support,Oppose,Don't know,Dems. take House,Favorable,Favorable,disagree,30 to 44,Some College Educ.,Other,Female,Very likely,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Rest of Araphahoe,50 to 85 percent,Cell,1,0.5178,1.2426,1.7219,1.3211
Dem,18 to 34,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Male,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.9228,0.5156,0.5573,0.531
Rep,50 to 64,High school,Hispanic,Female,White,Support,disagree,Don't know,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,45 to 64,High School Grad. or Less,Other,Female,Not at all likely,Republican,"White, No 4-Year College Degree",White,50 to 64,Hispanic,Aurora,Less than 50 percent,Cell,0.4444,0.3979,1.7857,2.7418,0.7661
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9934,1.1027,0.6359,1.1309
Dem,50 to 64,Bachelors' degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Douglas,85 percent or higher,Cell,1,0.9837,1.7219,1.2266,1.7651
Rep,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Don't know,oppose,Support,disagree,Reps. keep House,Don't know,Favorable,disagree,45 to 64,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9923,1.1424,0.7577,1.1715
Dem,65 and older,Bachelors' degree,White,Male,[DO NOT READ] Don't know/Refused,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,4-year College Grad.,Democratic,Male,Almost certain,Democrat,[DO NOT READ] Don't know/Refused,[DO NOT READ] Don't know/Refused,65 and older,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9756,0.8,0.5879,0.8201
Rep,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Approve,support,Support,Don't know,Reps. keep House,Don't know,Favorable,agree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9951,0.9627,0.5952,0.9876
Dem,50 to 64,Graduate or Professional Degree,White,Female,Hispanic,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Other,Female,Almost certain,Independent (No party),Nonwhite,Nonwhite,50 to 64,White,Aurora,85 percent or higher,Cell,1,0.9914,1.2072,0.7812,1.2379
Rep,65 and older,High school,White,Female,White,Don't know,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,Don't know,65 and older,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Cell,1,0.9942,1.5474,1.1546,1.5871
Rep,65 and older,Bachelors' degree,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,agree,Reps. keep House,Don't know,Unfavorable,agree,65 and older,4-year College Grad.,Republican,Male,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,Unknown,Adams,50 to 85 percent,Cell,1,0.7881,0.7847,0.6452,0.8255
Dem,35 to 49,Some college or trade school,White,Male,White,Support,disagree,Disapp.,support,Support,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,Independent (No party),"White, No 4-Year College Degree",White,35 to 49,White,Aurora,85 percent or higher,Cell,1,0.9132,0.908,0.8601,0.9362
Dem,18 to 34,Some college or trade school,White,Male,White,Oppose,disagree,Don't know,Don't know,Oppose,disagree,Dems. take House,Don't know,Unfavorable,Don't know,18 to 29,Some College Educ.,Other,Male,Not very likely,Independent (No party),"White, No 4-Year College Degree",White,18 to 34,White,Adams,Less than 50 percent,Cell,0.1111,0.3909,0.2992,0.7409,0.1168
Rep,18 to 34,Bachelors' degree,White,Male,Hispanic,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,18 to 29,4-year College Grad.,Republican,Male,Almost certain,or as a member of another political party,Nonwhite,Nonwhite,18 to 34,White,Aurora,Less than 50 percent,Cell,1,0.2569,0.4901,1.4041,0.6424
Dem,18 to 34,Some college or trade school,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,18 to 29,Some College Educ.,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,18 to 34,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9638,0.5766,0.5215,0.5915
Und,18 to 34,Some college or trade school,White,Male,Black,Don't know,disagree,Disapp.,Don't know,Oppose,disagree,Dems. take House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Democratic,Male,Almost certain,Independent (No party),Nonwhite,Nonwhite,18 to 34,White,Aurora,85 percent or higher,Cell,1,0.891,0.5156,0.5772,0.5332
Und,65 and older,Some college or trade school,White,Female,White,Don't know,agree,Approve,support,Oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Adams,85 percent or higher,Cell,1,0.9752,0.6467,0.4922,0.6631
Und,50 to 64,Bachelors' degree,White,Male,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,4-year College Grad.,Republican,Male,Almost certain,Independent (No party),"White, 4-Year College Grads",White,50 to 64,White,Aurora,50 to 85 percent,Cell,1,0.5798,1.2068,1.2947,1.3368
Rep,65 and older,Some college or trade school,White,Female,White,Support,disagree,Approve,support,Support,disagree,Reps. keep House,Unfavorable,Favorable,disagree,65 and older,Some College Educ.,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.9114,1.1015,0.8434,1.136
Dem,18 to 34,Bachelors' degree,Unknown,Male,White,Oppose,agree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,Don't know,30 to 44,4-year College Grad.,Democratic,Male,Almost certain,Democrat,"White, 4-Year College Grads",White,18 to 34,Unknown,Adams,85 percent or higher,Cell,1,0.9665,0.3437,0.3232,0.3526
Dem,65 and older,Graduate or Professional Degree,Hispanic,Female,Hispanic,Oppose,agree,Disapp.,oppose,Oppose,agree,Don't know,Favorable,Unfavorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Hispanic,Aurora,85 percent or higher,Cell,1,0.9926,1.2451,0.668,1.2769
Rep,65 and older,Graduate or Professional Degree,White,Male,White,Oppose,agree,Approve,oppose,Support,agree,Reps. keep House,Unfavorable,Favorable,agree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Independent (No party),"White, 4-Year College Grads",White,65 and older,White,Aurora,85 percent or higher,Landline,1,0.9897,0.9997,0.7016,1.0249
Dem,65 and older,Graduate or Professional Degree,Unknown,Female,Black,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,65 and older,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,Nonwhite,Nonwhite,65 and older,Unknown,Adams,85 percent or higher,Landline,1,0.9937,0.6905,0.5052,0.7082
Dem,50 to 64,Graduate or Professional Degree,White,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Almost certain,Democrat,"White, 4-Year College Grads",White,50 to 64,White,Rest of Araphahoe,85 percent or higher,Cell,1,0.9646,1.0367,0.7041,1.0635
Dem,35 to 49,Graduate or Professional Degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,45 to 64,Postgraduate Degree,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9946,0.9183,0.6454,0.9398
Dem,50 to 64,Some college or trade school,White,Female,White,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,Some College Educ.,Other,Female,Almost certain,[DO NOT READ] Refused,"White, No 4-Year College Degree",White,50 to 64,White,Aurora,50 to 85 percent,Landline,1,0.846,1.4369,1.2169,1.4962
Rep,35 to 49,High school,Hispanic,Female,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Unfavorable,Unfavorable,disagree,45 to 64,High School Grad. or Less,Republican,Female,Somewhat likely,Republican,"White, No 4-Year College Degree",White,35 to 49,Hispanic,Adams,85 percent or higher,Landline,0.5556,0.8923,1.0646,0.7737,0.9544
Dem,50 to 64,High school,Unknown,Female,White,Oppose,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Don't know,Unfavorable,disagree,45 to 64,High School Grad. or Less,Democratic,Female,Almost certain,Democrat,"White, No 4-Year College Degree",White,50 to 64,Unknown,Aurora,85 percent or higher,Landline,1,0.9923,1.7067,1.4782,1.7502
Rep,65 and older,Bachelors' degree,White,Female,White,Support,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Favorable,agree,65 and older,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,65 and older,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9938,1.0381,0.5954,1.0647
Rep,50 to 64,High school,White,Female,White,Oppose,agree,Approve,support,Support,agree,Reps. keep House,Don't know,Don't know,agree,45 to 64,High School Grad. or Less,Republican,Female,Almost certain,Republican,"White, No 4-Year College Degree",White,50 to 64,White,Adams,85 percent or higher,Landline,1,0.9919,0.965,0.7713,0.9896
Rep,35 to 49,Bachelors' degree,White,Female,White,Oppose,disagree,Approve,support,Support,disagree,Reps. keep House,Favorable,Favorable,agree,45 to 64,4-year College Grad.,Republican,Female,Almost certain,Republican,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9144,0.9767,0.6529,1.0069
Rep,35 to 49,Some college or trade school,Unknown,Male,White,Oppose,disagree,Approve,oppose,Support,disagree,Reps. keep House,Don't know,Don't know,disagree,30 to 44,Some College Educ.,Other,Male,Almost certain,or as a member of another political party,"White, No 4-Year College Degree",White,35 to 49,Unknown,Rest of Araphahoe,85 percent or higher,Landline,1,0.9163,1.0428,0.9097,1.0748
Und,18 to 34,Bachelors' degree,White,Male,White,Support,disagree,Disapp.,support,Oppose,disagree,Don't know,Don't know,Don't know,disagree,30 to 44,4-year College Grad.,Other,Male,Not at all likely,Independent (No party),"White, 4-Year College Grads",White,18 to 34,White,Aurora,Less than 50 percent,Cell,0,0.4684,0.4918,0.832,0.1481
Dem,35 to 49,Bachelors' degree,White,Female,White,Support,disagree,Disapp.,support,Oppose,disagree,Dems. take House,Favorable,Unfavorable,disagree,30 to 44,4-year College Grad.,Democratic,Female,Very likely,Democrat,"White, 4-Year College Grads",White,35 to 49,White,Rest of Araphahoe,85 percent or higher,Landline,1,0.9982,0.8621,0.6183,0.8841
Dem,35 to 49,Graduate or Professional Degree,White,Female,Black,Oppose,disagree,Disapp.,oppose,Oppose,disagree,Dems. take House,Favorable,Favorable,disagree,30 to 44,Postgraduate Degree,Other,Female,Almost certain,Democrat,Nonwhite,Nonwhite,35 to 49,White,Adams,50 to 85 percent,Cell,1,0.5721,0.7683,0.9279,0.8532
